|    | 100                | 500                | 1000               | 2000               |
|----|--------------------|--------------------|--------------------|--------------------|
| 1  | 0.003947 | 0.568290 | 8.156575 | 127.223367 |
| 2  | 0.003776 | 0.566433 | 8.009444 | 126.350395 |
| 3  | 0.003827 | 0.571440 | 8.072510 | 125.875513 |
| 4  | 0.003837 | 0.568347 | 8.133991 | 129.284768 |
| 5  | 0.003821 | 0.564673 | 7.989961 | 129.271858 |
| 6  | 0.003797 | 0.565817 | 8.047803 | 126.428788 |
| 7  | 0.003778 | 0.565545 | 8.052272 | 126.541473 |
| 8  | 0.003791 | 0.567459 | 8.068106 | 127.716066 |
| 9  | 0.003777 | 0.569441 | 8.070993 | 128.884745 |
| 10  | 0.003820 | 0.570232 | 8.023926 | 124.576415 |


|    | 100                | 500                | 1000               | 2000               |
|----|--------------------|--------------------|--------------------|--------------------|
| 1  | 0.007764 | 1.130119 | 16.615737 | 259.636145 |
| 2  | 0.011748 | 1.141315 | 16.554136 | 259.837703 |
| 3  | 0.011752 | 1.130404 | 16.588340 | 259.300625 |
| 4  | 0.007749 | 1.125273 | 16.523579 | 255.578143 |
| 5  | 0.011845 | 1.153270 | 16.501750 |
